feature_id,area,command,user_story,expected_behavior,preconditions,auth_required,network_required,source_refs,known_code_issues,phase2_test_method,phase2_result,phase2_errors,phase3_fix,phase4_retest,status
setup-onboarding,Auth & Setup,mdf setup [path],"As a researcher new to MDF, I want a guided onboarding that records my defaults and scaffolds a manifest, so that I can publish without learning every flag first.","Interactive. Prompts for default service (default = config value or 'staging'), organization, publisher, and contact email; each non-empty answer is persisted to ~/.config/mdf_agent/config.json via cfg.set() (defaults.service, user.organization, user.publisher, user.email). Creates the target directory (default '.') with mkdir parents=True. Checks auth_ready(service) and prints green 'Auth ready' or yellow 'Not authenticated' with a login hint. If mdf.yaml exists it reports it; otherwise it lists detected data candidates via suggest_data_sources and, on confirm (default yes), calls manifest_init to create mdf.yaml (passing publisher/organization but NOT title/author/email). Prints 'Next steps'. No exit code on success (0); no network beyond is_logged_in token check.",interactive TTY for prompts/confirm; writable home config dir and target path,no,no,"cli/main.py:456-538 (setup); cli/preflight.py:71-81 (auth_ready), :38-68 (suggest_data_sources); core/config.py:72-92","setup gathers user.email and prompts for it, but manifest_init is called without email and title/author/description (main.py:519-528), so the created mdf.yaml has no title/authors and will immediately fail validation on the next publish — the 'Next steps' then suggest `mdf publish --preflight-only` which will block on 'Missing required field: title'. | auth_ready returns True for service 'local' unconditionally (preflight.py:73-74), so setup prints 'Auth ready for local' even with zero credentials — misleading if the user later targets a remote service. | Final 'Next steps' check `if manifest_path.exists() or (root / 'mdf.yaml').exists()` is redundant — manifest_path IS root/'mdf.yaml' (main.py:510,533).",partial offline + code review,BLOCKED-INTERACTIVE,interactive prompts; code-confirmed it scaffolds mdf.yaml WITHOUT title/author -> later preflight blocks,Deferred: needs interactive redesign to collect title/author (or stop implying the scaffold is publish-ready).,UNCHANGED — deferred.,documented:deferred
login-interactive,Auth & Setup,mdf login [--service staging|prod|dev],"As a researcher, I want to authenticate with Globus once via my browser, so that subsequent publish/clone commands reuse my cached credentials.","Resolves service (flag > config default > 'staging'). With no --token: computes the MDF Connect scope for the service and calls get_authorizer_for_scopes([connect_scope, DATA_MDF_SCOPE, TRANSFER_SCOPE, GROUPS_SCOPE]); if login_required, prints 'Opening browser for Globus authentication...' and opens a browser OAuth2 flow, caching refresh tokens to ~/.config/mdf_agent/tokens.json. Prints green 'Authentication ready' and the token store path. Exit 0 on success; raises/propagates on Globus failure.",browser available for the OAuth2 flow (unless already cached); network,no,yes,"cli/main.py:545-577 (login); auth/globus.py:165-227 (get_authorizer_for_scopes), :67-79 (get_scopes_for_service)",staging resolves to MDF_CONNECT_SCOPE/prod resource server (globus.py:78-79) — login for 'staging' actually authenticates against prod Globus introspection; intended per comment but surprising and undocumented in the CLI help. | No try/except around the Globus login: a user who cancels the browser flow or has no network sees a raw stack trace rather than a friendly error (main.py:572-573).,auth-prompt abort path verified (stdin closed),BLOCKED-AUTH,opens browser; aborts cleanly on EOF,,,documented:blocked-auth
login-token,Auth & Setup,mdf login --token <ACCESS_TOKEN> [--service ...],"As a CI/script operator, I want to supply an explicit access token to validate it, so that I can confirm credentials without an interactive browser flow.","With --token: calls get_authorizer(token=token, service_instance=resolved) which simply wraps the token in an AccessTokenAuthorizer (no validation/network call). Prints green 'Authentication ready', the token store path, and 'Using token from --token for this invocation.' Exit 0.",a token string provided,no,no,cli/main.py:568-577; auth/globus.py:82-125 (get_authorizer token branch returns AccessTokenAuthorizer without verification),"--token path performs NO verification — get_authorizer returns AccessTokenAuthorizer(token) immediately (globus.py:123-125), so `mdf login --token garbage` reports 'Authentication ready' even for an invalid/expired token. Misleading success message. | The token from --token is not persisted to the token store, yet the message prints the token store path, implying it was stored (main.py:575). It only applies 'for this invocation' but the command does nothing with it afterward.",offline run,FAIL,`mdf login --token garbage` prints 'Authentication ready' with no verification and does not persist the token,Deferred: verifying a --token requires a network identity call (flaky); documented misleading 'Authentication ready'.,UNCHANGED — still reports success without verification (deferred).,documented:deferred
logout,Auth & Setup,mdf logout,"As a researcher on a shared machine, I want to clear my cached Globus credentials, so that no one else can publish as me.","Deletes ~/.config/mdf_agent/tokens.json if present (logout() unlinks the file and prints 'Logged out and cleared cached tokens.' to stdout, returns True). CLI then prints green 'Logged out'. If no token file exists, prints yellow 'No cached token file found (<path>)'. Exit 0 either way.",none,no,no,cli/main.py:580-589; auth/globus.py:230-243 (logout),"logout() prints its own line 'Logged out and cleared cached tokens.' via print() in addition to the CLI's rich 'Logged out' — double success message (globus.py:241 + main.py:587). | Only removes the token file; it does not revoke tokens at Globus, so the access/refresh tokens remain valid server-side until expiry — arguably a security gap for the stated 'shared machine' use.",offline run,PASS,clean 'No cached token file found' when none; idempotent,,,documented+tested
status-auth,Auth & Setup,mdf status --auth [--service ...] [--json],"As a researcher, I want to see whether I'm authenticated and by which method, so that I can debug why a publish was rejected.","With --auth: determines method by precedence env_client (MDF_CLIENT_ID+MDF_CLIENT_SECRET) > env_token (MDF_CONNECT_TOKEN) > cached Globus login (is_logged_in), else None. status='authenticated' if any method else 'not authenticated'. Prints Service, Status, Method, Token store path, and dim notes if env vars set. --json prints the dict. No network call (is_logged_in only inspects the local token store). Exit 0.",none,no,no,cli/main.py:596-663 (status --auth branch); auth/globus.py:246-272 (is_logged_in),"is_logged_in only checks login_required against the local store; tokens may be expired-but-present and still report 'authenticated' (globus.py:272). For dev service it uses the dev resource server but for staging uses prod, so cached staging tokens are evaluated against prod scope — can falsely report authenticated/unauthenticated for staging. | Duplicate of the hidden `whoami` command (main.py:1695-1724) which uses different precedence (doesn't surface confidential-client method) — two sources of truth for 'am I authenticated'.",offline run,PASS,shows service/status/token-store; == hidden `mdf whoami`,,,documented+tested
status-default,Auth & Setup,mdf status [source_id] [--version V] [--json] [--service ...],"As a researcher, I want to check the backend status of a dataset (or my last published one), so that I know whether it's pending, approved, or published.","Resolves service. lookup_id = source_id arg, else config.last_source_id; if neither, prints a dim usage hint and returns (exit 0, no error). Builds an authenticated BackendClient, resolves DOI->source_id if needed (printing a notice), shows a spinner 'Checking status...', calls GET /status/{id}. --json dumps raw. Otherwise _render_status_details prints source_id, version, status badge, title, DOI link, transfer progress, version lineage, curator feedback, and a context-sensitive 'Next/Try' hint per status. Exit 0.",authenticated (client.authenticated requires creds for non-local); network,partial,yes,cli/main.py:665-715; :221-287 (_render_status_details); core/backend_client.py:179-181 (status),"When no source_id and no last_source_id, it prints to stdout and returns exit code 0 — scripts can't distinguish 'no dataset' from 'status ok' (main.py:669-672). | BackendClient.authenticated will trigger an interactive Globus browser login if no token/dev-user is present and service is not local (backend_client.py:130-140), so a non-interactive `mdf status` can unexpectedly block on a browser prompt.",live run vs staging (authenticated),PASS,shows status/title/next-steps for a real source_id,,,documented+tested
status-watch,Auth & Setup,mdf status --watch [source_id] [--interval N] [--timeout N] [--json],"As a researcher, I want to poll a submission until it reaches a terminal state, so that I can leave it running and know when curation finishes.","Resolves DOI->source_id, then loops every --interval seconds (default 10) until timeout (default 1800s). Terminal states: published, rejected, failed, deleted, withdrawn. On each poll prints a status badge with elapsed seconds (or JSON line). On timeout prints yellow 'Timeout after Ns' and exits 1. On terminal state prints details; exits 0 only for 'published', else 1. Per-iteration backend errors are printed and retried (do not abort). Exits via typer.Exit(code) returned from _watch_submission.",authenticated; network,partial,yes,cli/main.py:674-697 (watch branch); :290-360 (_watch_submission),"_watch_submission re-creates and closes a BackendClient on every poll (main.py:318-326) — for interactive Globus auth this could re-trigger login logic each iteration; inefficient even with cached tokens. | Backend errors loop forever until timeout with no consecutive-failure cap (main.py:327-333) — a permanently-down backend silently spins for the full timeout. | A duplicate hidden `watch` command exists (main.py:1727-1770) with a different default interval handling, overlapping this feature.",live run vs staging (authenticated),PASS,"polled approved->published in ~26s with live badges, then 'Done!'",,,documented+tested
publish-dryrun,Publishing,mdf publish [data...] --title T --author A   (default; no --submit),"As a researcher, I want to preview the exact submission payload before sending it, so that I can verify metadata and file scope without committing.","dry_run defaults True (--dry-run/--submit toggle). Runs run_preflight (submit=False -> local checks only, no auth/health). If preflight blocks, renders issues and exits 1. Otherwise builds payload via build_submission(test, update) and, in dry-run, renders the preflight panel, prints 'Dry run - would submit:', target URL+service, the JSON payload (syntax-highlighted), and 'Ready to publish. Run: mdf publish --submit'. --json emits {success, dry_run, payload, preflight}. Exit 0. No upload, no config change.",direct mode requires --title and --author; manifest mode requires mdf.yaml in cwd,no,no,cli/main.py:722-842; cli/preflight.py:134-292; core/submission.py:103-181; core/agent.py:684-705 (publish dry_run short-circuit),"Dry-run preflight passes submit=False so it never checks auth or backend health — the 'Ready to publish' message can be shown even when the user is not authenticated and --submit will then fail at preflight, contradicting the optimistic message (main.py:801-809,840-841). | build_submission raises ValueError (not a friendly message) if title/authors missing in manifest mode where overrides didn't fill them; in direct mode this is guarded, but manifest mode with an incomplete mdf.yaml relies on preflight catching it first (submission.py:126-127).",live run vs staging,PASS,renders preflight + JSON payload; no submit,,,documented+tested
publish-direct,Publishing,mdf publish ./data/ --title T --author A [--author B] --submit,"As a researcher, I want to publish a local directory in one command by passing data plus title/author, so that I don't have to create a manifest first.","When data args are present, BOTH --title and --author are required: missing --title prints red 'Direct mode requires --title' + example and exits 1; missing --author likewise exits 1. Builds an in-memory ManifestConfig (title, authors, description, data_sources=data, publisher/organization from GlobalConfig). Runs submit-time preflight (submit=True: auth_ready + backend /health). On block, exits 1. On --submit, uploads local files via HTTPS PUT to the MDF collection (replacing paths with globus:// URIs, plus a .mdf/data.zip archive for directories), shows two-tier rich progress on a TTY, POSTs /submit, prints 'Published successfully!' with source_id/version, records last_publish to config, and auto-watches until pending_curation (unless --no-watch).",authenticated (token/dev-user/confidential-client/cached login); data paths exist; network,yes,yes,"cli/main.py:762-781 (direct mode + required-flag guards), :800-988 (preflight/upload/progress/watch); core/agent.py:688-755 (publish upload), :196-343 (_upload_local_files); core/backend_client.py:176-177 (submit)","Upload only happens when client._globus_data_token is set (agent.py:734). With MDF_CONNECT_TOKEN-only auth (no data token), local files are submitted as raw local filesystem paths in data_sources — the backend cannot fetch them, producing a broken submission with no client-side warning. | auth_check() pre-flight ('is_submitter') is swallowed by a bare except (agent.py:722-728), so an unauthorized user proceeds to upload all files and only fails at /submit — wasted bandwidth. | Upload errors raise RuntimeError mid-flight; already-uploaded files are left on the collection with no cleanup (agent.py:312-315). | Direct mode ignores any keywords/year/license — only title/author/description/data are wired (main.py:773-780), so direct-mode datasets are metadata-poor.",live run vs staging (authenticated),PASS,"real submit: uploaded files via Globus HTTPS, created pending_curation submission",,,documented+tested
publish-manifest,Publishing,mdf publish --submit   (uses ./mdf.yaml),"As a researcher with a curated mdf.yaml, I want to publish the current directory by running one command, so that all my metadata is reused.","When no data args but ./mdf.yaml exists, loads agent via from_manifest('.'). If manifest has no data_sources, defaults them to ['.']. Runs submit-time preflight; auto-scan of visible files happens at build time (build_submission scans root.rglob excluding mdf.yaml/.gitignore/hidden). Same upload+progress+watch flow as direct mode. With neither data nor mdf.yaml, prints red 'No data paths provided and no mdf.yaml found' with mode hints and exits 1.",./mdf.yaml present with title+authors; authenticated; network,yes,yes,"cli/main.py:783-799; core/agent.py:631-638 (from_manifest), :684-687 (build_submission); core/submission.py:132-144 (auto-scan)","data_sources defaulted to ['.'] when empty (main.py:791-792), but submission.py also auto-scans the directory — and _upload_local_files treats '.' as a directory, uploading the entire cwd including mdf.yaml itself (the upload path does NOT apply the _SKIP_FILENAMES filter that preflight/build use). Potentially uploads mdf.yaml and hidden files via the zip archive path differently than the preflight reported. | from_manifest raises NoManifestError if mdf.yaml disappears between the exists() check and load — a TOCTOU, though narrow.",live run vs staging (authenticated),PASS,real submit path verified end-to-end,,,documented+tested
